Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,-67,864,399,15.52,20
Resistance,146,733,440,9.79,9
Resistance,237,701,469,7.73,10
Resistance,189,816,502,10.45,14
Resistance,18,1063,541,17.42,7
Resistance,139,1107,623,16.14,13
Resistance,387,955,671,9.46,4
Resistance,641,854,748,3.54,2
Support,-69,358,144,7.13,5
Support,-3,367,182,6.17,39
Support,-41,473,216,8.56,12
Support,136,330,233,3.24,7
Support,142,362,252,3.67,17
Support,132,408,270,4.6,18
Support,96,507,302,6.86,6
Support,155,548,352,6.54,5
