Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,384,15,23,49,0.9193,0.9624,0.9435,0.9529
AKRA,233,54,74,110,0.7282,0.8118,0.759,0.7845
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,449,10,7,5,0.9639,0.9782,0.9846,0.9814
BULL,409,10,15,37,0.9469,0.9761,0.9646,0.9703
BUMI,377,28,23,43,0.8917,0.9309,0.9425,0.9366
DEWA,150,20,93,208,0.7601,0.8824,0.6173,0.7264
DOID,207,19,82,163,0.7856,0.9159,0.7163,0.8039
ELSA,260,13,82,116,0.7983,0.9524,0.7602,0.8455
ENRG,278,10,59,124,0.8535,0.9653,0.8249,0.8896
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,343,0,45,83,0.9045,1.0,0.884,0.9384
INDY,380,10,24,57,0.9278,0.9744,0.9406,0.9572
ITMA,35,13,136,287,0.6837,0.7292,0.2047,0.3196
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,372,17,36,46,0.8875,0.9563,0.9118,0.9335
MBSS,125,24,129,193,0.6752,0.8389,0.4921,0.6203
MEDC,318,22,41,90,0.8662,0.9353,0.8858,0.9099
PGAS,145,38,98,190,0.7113,0.7923,0.5967,0.6808
PTBA,407,20,20,24,0.9151,0.9532,0.9532,0.9532
RUIS,327,19,48,77,0.8577,0.9451,0.872,0.9071
SOCI,395,19,23,34,0.9108,0.9541,0.945,0.9495
TCPI,333,6,49,83,0.8832,0.9823,0.8717,0.9237
TEBE,229,14,112,116,0.7325,0.9424,0.6716,0.7842
TPMA,449,14,6,2,0.9575,0.9698,0.9868,0.9782
WINS,298,26,59,88,0.8195,0.9198,0.8347,0.8752
