Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,398,6,19,48,0.9469,0.9851,0.9544,0.9695
AKRA,458,13,0,0,0.9724,0.9724,1.0,0.986
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,428,12,11,20,0.9512,0.9727,0.9749,0.9738
BUMI,377,28,23,43,0.8917,0.9309,0.9425,0.9366
DEWA,187,3,84,197,0.8153,0.9842,0.69,0.8113
DOID,240,10,77,144,0.8153,0.96,0.7571,0.8466
ELSA,369,17,35,50,0.8896,0.956,0.9134,0.9342
ENRG,312,10,49,100,0.8747,0.9689,0.8643,0.9136
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,464,3,1,3,0.9915,0.9936,0.9978,0.9957
INDY,429,6,11,25,0.9639,0.9862,0.975,0.9806
ITMA,170,38,90,173,0.7282,0.8173,0.6538,0.7265
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,405,11,23,32,0.9278,0.9736,0.9463,0.9597
MBSS,417,10,11,33,0.9554,0.9766,0.9743,0.9754
MEDC,405,50,4,12,0.8854,0.8901,0.9902,0.9375
PGAS,376,23,30,42,0.8875,0.9424,0.9261,0.9342
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,467,3,1,0,0.9915,0.9936,0.9979,0.9957
SOCI,445,3,9,14,0.9745,0.9933,0.9802,0.9867
TCPI,363,13,34,61,0.9002,0.9654,0.9144,0.9392
TEBE,355,6,42,68,0.8981,0.9834,0.8942,0.9367
TPMA,468,3,0,0,0.9936,0.9936,1.0,0.9968
WINS,453,18,0,0,0.9618,0.9618,1.0,0.9805
