Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,400,3,20,48,0.9512,0.9926,0.9524,0.9721
AKRA,430,16,8,17,0.949,0.9641,0.9817,0.9729
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,406,14,17,34,0.9342,0.9667,0.9598,0.9632
BUMI,420,12,15,24,0.9427,0.9722,0.9655,0.9689
DEWA,175,9,86,201,0.7983,0.9511,0.6705,0.7865
DOID,228,9,77,157,0.8174,0.962,0.7475,0.8413
ELSA,175,22,108,166,0.724,0.8883,0.6184,0.7292
ENRG,325,12,43,91,0.8832,0.9644,0.8832,0.922
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,425,6,12,28,0.9618,0.9861,0.9725,0.9793
ITMA,162,32,95,182,0.7304,0.8351,0.6304,0.7184
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,305,10,62,94,0.8471,0.9683,0.8311,0.8944
MBSS,411,9,13,38,0.9533,0.9786,0.9693,0.9739
MEDC,315,49,31,76,0.8301,0.8654,0.9104,0.8873
PGAS,232,39,70,130,0.7686,0.8561,0.7682,0.8098
PTBA,309,21,57,84,0.8344,0.9364,0.8443,0.8879
RUIS,323,12,58,78,0.8514,0.9642,0.8478,0.9022
SOCI,341,27,40,63,0.8577,0.9266,0.895,0.9105
TCPI,467,3,1,0,0.9915,0.9936,0.9979,0.9957
TEBE,349,7,41,74,0.8981,0.9803,0.8949,0.9357
TPMA,455,9,5,2,0.9703,0.9806,0.9891,0.9848
WINS,321,30,48,72,0.8344,0.9145,0.8699,0.8917
