Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2656,2735,2696,39.1,32
Resistance,2772,2845,2809,36.31,17
Resistance,2921,2992,2957,35.4,9
Resistance,3154,3281,3218,63.71,8
Resistance,3317,3458,3388,70.71,2
Resistance,3701,3876,3788,87.1,2
Resistance,4393,4393,4393,0.0,1
Support,1457,1532,1495,37.7,11
Support,1693,1772,1732,39.19,7
Support,1961,2037,1999,38.01,14
Support,2119,2215,2167,47.92,10
Support,2231,2303,2267,36.4,10
Support,2373,2429,2401,28.25,25
Support,2491,2578,2534,43.22,39
