Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,379,399,389,9.55,2
Resistance,403,411,407,3.86,4
Resistance,427,429,428,1.11,3
Resistance,474,498,486,12.14,3
Resistance,526,549,538,11.11,5
Resistance,560,569,565,4.83,3
Resistance,584,590,587,2.79,3
Resistance,618,618,618,0.0,1
Resistance,656,656,656,0.0,1
Support,79,96,88,8.43,55
Support,105,117,111,6.25,18
Support,124,138,131,6.84,9
Support,152,166,159,6.89,24
Support,175,194,184,9.26,20
Support,242,266,254,11.88,16
Support,278,290,284,6.21,11
Support,301,318,310,8.73,12
Support,340,370,355,15.25,6
