Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,106,113,110,3.35,7
Resistance,115,119,117,2.42,13
Resistance,126,137,131,5.32,7
Resistance,145,149,147,2.28,6
Resistance,153,159,156,3.13,14
Resistance,163,169,166,2.77,5
Resistance,181,186,184,2.57,10
Resistance,191,201,196,5.0,5
Resistance,234,234,234,0.0,1
Support,51,51,51,0.0,1
Support,76,76,76,0.0,1
Support,79,79,79,0.0,1
Support,81,81,81,0.0,1
Support,83,83,83,0.0,1
Support,84,84,84,0.0,1
Support,86,86,86,0.0,1
Support,99,99,99,0.0,1
