Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,418,5,14,34,0.9597,0.9882,0.9676,0.9778
AKRA,375,30,26,40,0.8811,0.9259,0.9352,0.9305
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,467,3,1,0,0.9915,0.9936,0.9979,0.9957
BULL,428,12,11,20,0.9512,0.9727,0.9749,0.9738
BUMI,433,6,11,21,0.9639,0.9863,0.9752,0.9807
DEWA,180,6,85,200,0.8068,0.9677,0.6792,0.7982
DOID,235,10,77,149,0.8153,0.9592,0.7532,0.8438
ELSA,446,20,2,3,0.9533,0.9571,0.9955,0.9759
ENRG,324,12,44,91,0.8811,0.9643,0.8804,0.9205
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,467,0,1,3,0.9979,1.0,0.9979,0.9989
INDY,403,11,16,41,0.9427,0.9734,0.9618,0.9676
ITMA,53,21,130,267,0.6794,0.7162,0.2896,0.4125
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,456,7,3,5,0.9788,0.9849,0.9935,0.9892
MBSS,383,9,17,62,0.9448,0.977,0.9575,0.9672
MEDC,425,16,8,22,0.949,0.9637,0.9815,0.9725
PGAS,393,29,22,27,0.8917,0.9313,0.947,0.9391
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,431,13,8,19,0.9554,0.9707,0.9818,0.9762
SOCI,445,13,6,7,0.9597,0.9716,0.9867,0.9791
TCPI,431,12,12,16,0.949,0.9729,0.9729,0.9729
TEBE,335,6,52,78,0.8769,0.9824,0.8656,0.9203
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,418,38,6,9,0.9066,0.9167,0.9858,0.95
