Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,467,4,0,0,0.9915,0.9915,1.0,0.9957
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,466,3,1,1,0.9915,0.9936,0.9979,0.9957
BUMI,469,2,0,0,0.9958,0.9958,1.0,0.9979
DEWA,319,6,45,101,0.8917,0.9815,0.8764,0.926
DOID,471,0,0,0,1.0,1.0,1.0,1.0
ELSA,471,0,0,0,1.0,1.0,1.0,1.0
ENRG,370,3,35,63,0.9193,0.992,0.9136,0.9512
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,461,6,1,3,0.9851,0.9872,0.9978,0.9925
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,456,15,0,0,0.9682,0.9682,1.0,0.9838
MEDC,471,0,0,0,1.0,1.0,1.0,1.0
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,460,6,2,3,0.983,0.9871,0.9957,0.9914
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,388,5,30,48,0.9257,0.9873,0.9282,0.9568
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
