Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,90,367,228,4.6,12
Resistance,143,347,245,3.39,14
Resistance,171,342,257,2.85,9
Resistance,128,411,270,4.73,4
Resistance,204,364,284,2.67,10
Resistance,197,393,295,3.27,6
Resistance,143,473,308,5.5,8
Resistance,247,417,332,2.83,2
Resistance,204,506,355,5.03,3
Resistance,274,528,401,4.24,2
Support,4,100,52,1.6,7
Support,-49,225,88,4.58,3
Support,13,193,103,3.0,18
Support,77,149,113,1.19,12
Support,47,190,118,2.37,10
Support,-25,292,133,5.28,6
Support,42,274,158,3.86,4
Support,111,231,171,2.0,5
Support,21,386,203,6.08,6
Support,124,304,214,3.0,13
