Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,402,3,19,47,0.9533,0.9926,0.9549,0.9734
AKRA,318,36,46,71,0.8259,0.8983,0.8736,0.8858
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,467,3,1,0,0.9915,0.9936,0.9979,0.9957
BULL,416,14,13,28,0.9427,0.9674,0.9697,0.9686
BUMI,420,12,15,24,0.9427,0.9722,0.9655,0.9689
DEWA,171,12,87,201,0.7898,0.9344,0.6628,0.7755
DOID,219,15,79,158,0.8004,0.9359,0.7349,0.8233
ELSA,382,15,29,45,0.9066,0.9622,0.9294,0.9455
ENRG,306,10,49,106,0.8747,0.9684,0.862,0.9121
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,426,0,14,31,0.9703,1.0,0.9682,0.9838
INDY,393,7,21,50,0.9406,0.9825,0.9493,0.9656
ITMA,43,15,134,279,0.6837,0.7414,0.2429,0.366
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,417,10,18,26,0.9406,0.9766,0.9586,0.9675
MBSS,168,42,103,158,0.6921,0.8,0.6199,0.6985
MEDC,384,17,19,51,0.9236,0.9576,0.9529,0.9552
PGAS,270,35,58,108,0.8025,0.8852,0.8232,0.8531
PTBA,434,10,12,15,0.9533,0.9775,0.9731,0.9753
RUIS,396,17,19,39,0.9236,0.9588,0.9542,0.9565
SOCI,414,20,16,21,0.9236,0.9539,0.9628,0.9583
TCPI,368,15,31,57,0.9023,0.9608,0.9223,0.9412
TEBE,278,15,88,90,0.7813,0.9488,0.7596,0.8437
TPMA,460,9,2,0,0.9766,0.9808,0.9957,0.9882
WINS,354,29,30,58,0.8747,0.9243,0.9219,0.9231
