Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,204,18,80,169,0.7919,0.9189,0.7183,0.8063
AKRA,423,18,9,21,0.9427,0.9592,0.9792,0.9691
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,449,10,7,5,0.9639,0.9782,0.9846,0.9814
BULL,399,14,19,39,0.9299,0.9661,0.9545,0.9603
BUMI,298,28,47,98,0.8408,0.9141,0.8638,0.8882
DEWA,180,6,85,200,0.8068,0.9677,0.6792,0.7982
DOID,208,15,84,164,0.7898,0.9327,0.7123,0.8078
ELSA,189,16,105,161,0.7431,0.922,0.6429,0.7575
ENRG,253,9,68,141,0.8365,0.9656,0.7882,0.8679
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,332,9,47,83,0.8811,0.9736,0.876,0.9222
INDY,391,6,22,52,0.9406,0.9849,0.9467,0.9654
ITMA,45,37,130,259,0.6454,0.5488,0.2571,0.3502
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,326,11,52,82,0.8662,0.9674,0.8624,0.9119
MBSS,364,7,22,78,0.9384,0.9811,0.943,0.9617
MEDC,274,37,51,109,0.8132,0.881,0.8431,0.8616
PGAS,99,25,117,230,0.6985,0.7984,0.4583,0.5824
PTBA,379,16,31,45,0.9002,0.9595,0.9244,0.9416
RUIS,399,12,23,37,0.9257,0.9708,0.9455,0.958
SOCI,342,15,45,69,0.8726,0.958,0.8837,0.9194
TCPI,285,20,67,99,0.8153,0.9344,0.8097,0.8676
TEBE,269,23,88,91,0.7643,0.9212,0.7535,0.829
TPMA,468,3,0,0,0.9936,0.9936,1.0,0.9968
WINS,386,28,20,37,0.8981,0.9324,0.9507,0.9415
