Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2643,2674,2659,15.53,15,2659.0,0.013,2625.0,653.53,1
Resistance,2711,2753,2732,20.92,19,2732.0,0.0408,2625.0,374.3,2
Resistance,2780,2849,2815,34.48,15,2815.0,0.0724,2625.0,182.08,3
Resistance,2921,2992,2957,35.4,9,2957.0,0.1265,2625.0,65.95,4
Resistance,3154,3281,3218,63.71,8,3218.0,0.2259,2625.0,33.91,5
Resistance,3317,3458,3388,70.71,2,3388.0,0.2907,2625.0,6.65,6
Resistance,3701,3876,3788,87.1,2,3788.0,0.443,2625.0,4.41,7
Resistance,4393,4393,4393,0.0,1,4393.0,0.6735,2625.0,1.46,8
Support,2558,2601,2580,21.7,16,2580.0,0.0171,2625.0,589.47,1
Support,2483,2523,2503,19.96,23,2503.0,0.0465,2625.0,407.25,2
Support,2366,2430,2398,31.72,26,2398.0,0.0865,2625.0,269.5,3
Support,2189,2275,2232,42.84,16,2232.0,0.1497,2625.0,100.18,4
Support,1963,2070,2017,53.58,17,2017.0,0.2316,2625.0,70.36,5
Support,1457,1532,1495,37.7,11,1495.0,0.4305,2625.0,24.97,6
Support,1696,1744,1720,23.99,6,1720.0,0.3448,2625.0,16.91,7
Support,1806,1806,1806,0.0,1,1806.0,0.312,2625.0,3.11,8
