Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,471,0,0,0,1.0,1.0,1.0,1.0
BBHI,154,3,127,185,0.7228,0.9809,0.548,0.7032
BBMD,107,36,191,135,0.516,0.7483,0.3591,0.4853
BBTN,240,38,65,126,0.7804,0.8633,0.7869,0.8233
BDMN,247,37,84,102,0.7426,0.8697,0.7462,0.8033
BINA,184,0,134,152,0.7149,1.0,0.5786,0.7331
BJBR,91,18,191,169,0.5544,0.8349,0.3227,0.4655
BJTM,325,22,73,49,0.7974,0.9366,0.8166,0.8725
BNGA,60,38,145,226,0.6098,0.6122,0.2927,0.396
BNII,134,14,172,150,0.6043,0.9054,0.4379,0.5903
BRIS,14,4,159,293,0.6532,0.7778,0.0809,0.1466
BSIM,242,59,99,71,0.6645,0.804,0.7097,0.7539
BTPN,17,7,201,244,0.5565,0.7083,0.078,0.1405
BVIC,320,22,54,75,0.8386,0.9357,0.8556,0.8939
INPC,116,7,125,221,0.7186,0.9431,0.4813,0.6374
MEGA,176,3,123,168,0.7319,0.9832,0.5886,0.7364
NISP,20,20,173,256,0.5885,0.5,0.1036,0.1717
PNBN,233,12,72,152,0.8209,0.951,0.7639,0.8473
