Emiten,Tebakan_Tepat,Prediksi_Meleset,Perubahan_Terlewat,Kondisi_Stabil,Akurasi_Total,Ketepatan_Prediksi,Daya_Tangkap_Model,Skor_Keseimbangan_F1
BACA,468,3,0,0,0.9936,0.9936,1.0,0.9968
BBHI,153,3,127,186,0.7228,0.9808,0.5464,0.7018
BBMD,76,26,217,150,0.4819,0.7451,0.2594,0.3848
BBTN,208,30,76,155,0.774,0.8739,0.7324,0.7969
BDMN,190,46,108,126,0.6723,0.8051,0.6376,0.7116
BINA,184,0,134,152,0.7149,1.0,0.5786,0.7331
BJBR,67,1,212,190,0.5468,0.9853,0.2401,0.3862
BJTM,59,17,237,157,0.4596,0.7763,0.1993,0.3172
BNGA,66,26,140,237,0.6461,0.7174,0.3204,0.443
BNII,77,17,205,170,0.5267,0.8191,0.273,0.4096
BRIS,13,4,159,294,0.6532,0.7647,0.0756,0.1376
BSIM,215,64,108,84,0.6348,0.7706,0.6656,0.7143
BTPN,19,5,200,246,0.5638,0.7917,0.0868,0.1564
BVIC,156,48,124,141,0.6333,0.7647,0.5571,0.6446
INPC,44,21,172,233,0.5894,0.6769,0.2037,0.3132
MEGA,165,6,126,173,0.7191,0.9649,0.567,0.7143
NISP,0,7,189,275,0.5839,0.0,0.0,0.0
PNBN,229,3,75,162,0.8337,0.9871,0.7533,0.8545
