Tanggal,Open,High,Low,Close,Volume
2020-10-05,3350.0,3390.0,3350.0,3360.0,1672600
2020-10-06,3370.0,3430.0,3350.0,3380.0,6098200
2020-10-07,3350.0,3380.0,3270.0,3300.0,4170600
2020-10-08,3320.0,3350.0,3300.0,3330.0,1858800
2020-10-09,3320.0,3430.0,3310.0,3420.0,5042100
2020-10-12,3470.0,3600.0,3470.0,3590.0,15972100
2020-10-13,3640.0,3820.0,3580.0,3780.0,18370700
2020-10-14,3800.0,3890.0,3750.0,3780.0,23181700
2020-10-15,3790.0,3820.0,3760.0,3800.0,9013800
2020-10-16,3790.0,3800.0,3670.0,3740.0,8393100
2020-10-19,3760.0,3770.0,3660.0,3700.0,4592600
2020-10-20,3700.0,3800.0,3700.0,3750.0,4882300
2020-10-21,3760.0,3850.0,3760.0,3830.0,9209400
2020-10-22,3850.0,4050.0,3850.0,4050.0,22677900
2020-10-23,4040.0,4040.0,3820.0,3910.0,9012500
2020-10-26,3900.0,3910.0,3750.0,3830.0,5939800
2020-10-27,3750.0,3880.0,3660.0,3700.0,14539000
2020-11-02,3700.0,3800.0,3600.0,3790.0,5939500
2020-11-03,3830.0,3880.0,3790.0,3840.0,5535300
2020-11-04,3830.0,3860.0,3680.0,3710.0,10699700
2020-11-05,3790.0,3800.0,3730.0,3790.0,5831000
2020-11-06,3840.0,3980.0,3830.0,3930.0,13851400
2020-11-09,4000.0,4040.0,3890.0,3890.0,3334000
2020-11-10,3980.0,4480.0,3970.0,4400.0,24471400
2020-11-11,4410.0,4410.0,4240.0,4300.0,8893300
2020-11-12,4320.0,4350.0,4250.0,4280.0,6732800
2020-11-13,4280.0,4440.0,4240.0,4390.0,17316300
2020-11-16,4450.0,4470.0,4360.0,4390.0,2977000
2020-11-17,4400.0,4400.0,4310.0,4310.0,3766300
2020-11-18,4310.0,4340.0,4200.0,4230.0,6881100
2020-11-19,4230.0,4320.0,4160.0,4210.0,5518700
2020-11-20,4210.0,4250.0,4080.0,4100.0,8160800
2020-11-23,4100.0,4270.0,4080.0,4260.0,8740700
2020-11-24,4290.0,4310.0,4250.0,4280.0,5688500
2020-11-25,4320.0,4350.0,4250.0,4340.0,11803500
2020-11-26,4340.0,4390.0,4250.0,4270.0,6842900
2020-11-27,4280.0,4320.0,4220.0,4240.0,5545900
2020-11-30,4240.0,4250.0,4100.0,4130.0,8761000
2020-12-01,4210.0,4250.0,4110.0,4130.0,9795100
2020-12-02,4130.0,4330.0,4120.0,4270.0,13123100
2020-12-03,4300.0,4300.0,4190.0,4220.0,12576400
2020-12-04,4220.0,4250.0,4120.0,4170.0,9926300
2020-12-07,4180.0,4230.0,4180.0,4200.0,5768800
2020-12-08,4200.0,4210.0,4000.0,4000.0,23652600
2020-12-10,4010.0,4050.0,3850.0,3890.0,30922500
2020-12-11,3910.0,4060.0,3900.0,3980.0,12930400
2020-12-14,4000.0,4030.0,3920.0,3980.0,10318700
2020-12-15,3980.0,4000.0,3950.0,4000.0,5028200
2020-12-16,4030.0,4090.0,3980.0,3990.0,19816900
2020-12-17,4020.0,4020.0,3960.0,3980.0,7539100
2020-12-18,3980.0,3980.0,3880.0,3900.0,12434000
2020-12-21,3910.0,3930.0,3750.0,3770.0,26187000
2020-12-22,3770.0,3780.0,3510.0,3560.0,30203100
2020-12-23,3580.0,3920.0,3580.0,3900.0,28020700
2020-12-28,3930.0,3960.0,3800.0,3860.0,10421900
2020-12-29,3900.0,3910.0,3810.0,3840.0,8583900
2020-12-30,3840.0,3870.0,3710.0,3750.0,6538600
2021-01-04,3800.0,3950.0,3720.0,3930.0,12279400
2021-01-05,3880.0,3940.0,3850.0,3880.0,4736600
2021-01-06,3880.0,3910.0,3770.0,3810.0,10402300
2021-01-07,3830.0,3880.0,3820.0,3860.0,12133100
2021-01-08,3900.0,3900.0,3750.0,3790.0,12194600
2021-01-11,3800.0,3830.0,3700.0,3740.0,17058700
2021-01-12,3750.0,3800.0,3730.0,3750.0,11041900
2021-01-13,3750.0,3790.0,3700.0,3720.0,10904200
2021-01-14,3720.0,3730.0,3630.0,3660.0,21759400
2021-01-15,3660.0,3680.0,3600.0,3630.0,11919800
2021-01-18,3640.0,3700.0,3520.0,3570.0,8142700
2021-01-19,3570.0,3630.0,3470.0,3600.0,19133500
2021-01-20,3640.0,3800.0,3640.0,3800.0,14859000
2021-01-21,3840.0,3870.0,3690.0,3730.0,10538500
2021-01-22,3730.0,3740.0,3580.0,3590.0,11873100
2021-01-25,3550.0,3550.0,3440.0,3470.0,4856200
2021-01-26,3480.0,3490.0,3300.0,3340.0,17476700
2021-01-27,3340.0,3570.0,3210.0,3400.0,13722000
2021-01-28,3400.0,3460.0,3290.0,3400.0,8137700
2021-01-29,3430.0,3470.0,3310.0,3400.0,6528700
2021-02-01,3420.0,3570.0,3300.0,3550.0,10811100
2021-02-02,3600.0,3630.0,3510.0,3600.0,6995300
2021-02-03,3600.0,3690.0,3560.0,3560.0,6554000
2021-02-04,3590.0,3600.0,3400.0,3420.0,7386300
2021-02-05,3430.0,3460.0,3380.0,3410.0,5045700
2021-02-08,3450.0,3450.0,3340.0,3420.0,8479000
2021-02-09,3420.0,3500.0,3320.0,3400.0,13823900
2021-02-10,3400.0,3440.0,3310.0,3360.0,9565600
2021-02-11,3360.0,3440.0,3320.0,3390.0,10705700
2021-02-15,3430.0,3780.0,3420.0,3760.0,25792600
2021-02-16,3780.0,3800.0,3760.0,3790.0,8362900
2021-02-17,3790.0,3790.0,3700.0,3770.0,10459900
2021-02-18,3800.0,4060.0,3790.0,3970.0,62662800
2021-02-19,3970.0,3990.0,3790.0,3830.0,12431100
2021-02-22,3880.0,3930.0,3830.0,3890.0,7159600
2021-02-23,3910.0,4050.0,3910.0,3980.0,15182700
2021-02-24,4000.0,4020.0,3890.0,4000.0,16801200
2021-02-25,4020.0,4120.0,4000.0,4050.0,18445100
2021-02-26,3880.0,4100.0,3780.0,4100.0,8877300
2021-03-01,4100.0,4100.0,3910.0,3930.0,9374900
2021-03-02,4000.0,4000.0,3920.0,3950.0,5001500
2021-03-03,3970.0,4000.0,3920.0,3970.0,2534300
2021-03-04,3960.0,4000.0,3910.0,3920.0,2854500
2021-03-05,3920.0,3920.0,3650.0,3650.0,12416100
2021-03-08,3680.0,3770.0,3660.0,3760.0,3470300
2021-03-09,3810.0,3810.0,3610.0,3670.0,4774700
2021-03-10,3700.0,3740.0,3630.0,3700.0,2938000
2021-03-12,3760.0,3900.0,3750.0,3890.0,7287800
2021-03-15,3890.0,3910.0,3740.0,3740.0,4532300
2021-03-16,3740.0,3790.0,3710.0,3780.0,2511000
2021-03-17,3730.0,3780.0,3640.0,3650.0,7613100
2021-03-18,3650.0,3680.0,3630.0,3630.0,3397100
2021-03-19,3630.0,3630.0,3550.0,3560.0,5321100
2021-03-22,3560.0,3650.0,3550.0,3600.0,4774000
2021-03-23,3650.0,3670.0,3550.0,3560.0,5341800
2021-03-24,3620.0,3850.0,3570.0,3660.0,7738900
2021-03-25,3660.0,3680.0,3550.0,3550.0,2710400
2021-03-26,3600.0,3720.0,3590.0,3680.0,5371200
2021-03-29,3700.0,3710.0,3600.0,3620.0,2183500
2021-03-30,3670.0,3670.0,3580.0,3620.0,2050300
2021-03-31,3650.0,3650.0,3440.0,3480.0,7689300
2021-04-01,3520.0,3550.0,3450.0,3510.0,3057800
2021-04-05,3510.0,3530.0,3460.0,3480.0,1334100
2021-04-06,3480.0,3500.0,3430.0,3470.0,1800700
2021-04-07,3450.0,3500.0,3360.0,3400.0,3166000
2021-04-08,3410.0,3460.0,3310.0,3350.0,6594800
2021-04-09,3370.0,3390.0,3300.0,3340.0,10569600
2021-04-12,3350.0,3360.0,3110.0,3110.0,13336300
2021-04-13,3090.0,3170.0,2900.0,2900.0,31969100
2021-04-14,2900.0,3070.0,2810.0,3070.0,30381100
2021-04-15,3070.0,3150.0,3000.0,3050.0,10874300
2021-04-16,3080.0,3100.0,2980.0,3050.0,8220600
2021-04-19,3050.0,3150.0,3050.0,3110.0,9425500
2021-04-20,3110.0,3280.0,3110.0,3240.0,8341400
2021-04-21,3240.0,3260.0,3200.0,3210.0,6606700
2021-04-22,3260.0,3420.0,3210.0,3370.0,8606900
2021-04-23,3370.0,3370.0,3250.0,3290.0,3209800
2021-04-26,3340.0,3380.0,3300.0,3320.0,2618400
2021-04-27,3330.0,3400.0,3330.0,3370.0,2574400
2021-04-28,3400.0,3540.0,3380.0,3480.0,8977600
2021-04-29,3480.0,3500.0,3310.0,3330.0,3700100
2021-04-30,3310.0,3340.0,3220.0,3270.0,3464300
2021-05-03,3270.0,3350.0,3270.0,3330.0,2202000
2021-05-04,3330.0,3340.0,3250.0,3320.0,1319500
2021-05-05,3320.0,3320.0,3250.0,3260.0,1169600
2021-05-06,3280.0,3320.0,3250.0,3270.0,963300
