Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,468,3,0,0,0.9936,0.9936,1.0,0.9968
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,464,4,1,2,0.9894,0.9915,0.9978,0.9946
BUMI,464,6,1,0,0.9851,0.9872,0.9978,0.9925
DEWA,317,6,45,103,0.8917,0.9814,0.8757,0.9255
DOID,471,0,0,0,1.0,1.0,1.0,1.0
ELSA,471,0,0,0,1.0,1.0,1.0,1.0
ENRG,366,3,36,66,0.9172,0.9919,0.9104,0.9494
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,452,12,3,4,0.9682,0.9741,0.9934,0.9837
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,456,15,0,0,0.9682,0.9682,1.0,0.9838
MEDC,471,0,0,0,1.0,1.0,1.0,1.0
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,460,6,2,3,0.983,0.9871,0.9957,0.9914
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,388,3,31,49,0.9278,0.9923,0.926,0.958
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
