Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,200,16,82,173,0.7919,0.9259,0.7092,0.8032
AKRA,114,25,117,215,0.6985,0.8201,0.4935,0.6162
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,467,3,1,0,0.9915,0.9936,0.9979,0.9957
BULL,423,12,12,24,0.949,0.9724,0.9724,0.9724
BUMI,425,9,14,23,0.9512,0.9793,0.9681,0.9737
DEWA,175,9,86,201,0.7983,0.9511,0.6705,0.7865
DOID,213,12,83,163,0.7983,0.9467,0.7196,0.8177
ELSA,328,16,54,73,0.8514,0.9535,0.8586,0.9036
ENRG,311,11,48,101,0.8747,0.9658,0.8663,0.9134
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,378,0,30,63,0.9363,1.0,0.9265,0.9618
INDY,397,6,20,48,0.9448,0.9851,0.952,0.9683
ITMA,49,15,133,274,0.6858,0.7656,0.2692,0.3984
ITMG,435,34,1,1,0.9257,0.9275,0.9977,0.9613
KKGI,306,12,60,93,0.8471,0.9623,0.8361,0.8947
MBSS,295,36,40,100,0.8386,0.8912,0.8806,0.8859
MEDC,405,17,16,33,0.9299,0.9597,0.962,0.9609
PGAS,87,15,121,248,0.7113,0.8529,0.4183,0.5613
PTBA,442,12,7,10,0.9597,0.9736,0.9844,0.979
RUIS,415,14,15,27,0.9384,0.9674,0.9651,0.9662
SOCI,355,16,40,60,0.8811,0.9569,0.8987,0.9269
TCPI,325,10,52,84,0.8684,0.9701,0.8621,0.9129
TEBE,250,3,107,111,0.7665,0.9881,0.7003,0.8197
TPMA,468,3,0,0,0.9936,0.9936,1.0,0.9968
WINS,442,29,0,0,0.9384,0.9384,1.0,0.9682
