Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,409,7,18,37,0.9469,0.9832,0.9578,0.9703
AKRA,457,14,0,0,0.9703,0.9703,1.0,0.9849
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,438,6,8,19,0.9703,0.9865,0.9821,0.9843
BUMI,425,9,14,23,0.9512,0.9793,0.9681,0.9737
DEWA,175,9,86,201,0.7983,0.9511,0.6705,0.7865
DOID,225,12,77,157,0.811,0.9494,0.745,0.8349
ELSA,401,25,16,29,0.913,0.9413,0.9616,0.9514
ENRG,333,6,42,90,0.8981,0.9823,0.888,0.9328
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,430,7,11,23,0.9618,0.984,0.9751,0.9795
ITMA,181,38,81,171,0.7473,0.8265,0.6908,0.7526
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,456,7,3,5,0.9788,0.9849,0.9935,0.9892
MBSS,432,11,8,20,0.9597,0.9752,0.9818,0.9785
MEDC,442,29,0,0,0.9384,0.9384,1.0,0.9682
PGAS,468,3,0,0,0.9936,0.9936,1.0,0.9968
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,457,3,4,7,0.9851,0.9935,0.9913,0.9924
TCPI,439,12,9,11,0.9554,0.9734,0.9799,0.9766
TEBE,361,3,41,66,0.9066,0.9918,0.898,0.9426
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,463,8,0,0,0.983,0.983,1.0,0.9914
