Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,468,3,0,0,0.9936,0.9936,1.0,0.9968
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,471,0,0,0,1.0,1.0,1.0,1.0
BUMI,471,0,0,0,1.0,1.0,1.0,1.0
DEWA,269,17,57,128,0.8429,0.9406,0.8252,0.8791
DOID,471,0,0,0,1.0,1.0,1.0,1.0
ELSA,431,40,0,0,0.9151,0.9151,1.0,0.9557
ENRG,406,3,24,38,0.9427,0.9927,0.9442,0.9678
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,457,9,2,3,0.9766,0.9807,0.9956,0.9881
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,456,15,0,0,0.9682,0.9682,1.0,0.9838
MEDC,471,0,0,0,1.0,1.0,1.0,1.0
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,460,6,2,3,0.983,0.9871,0.9957,0.9914
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,413,12,23,23,0.9257,0.9718,0.9472,0.9593
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
