Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1130,1193,1162,31.52,26
Resistance,1243,1320,1282,38.28,16
Resistance,1377,1444,1410,33.04,10
Resistance,1522,1616,1569,47.06,7
Resistance,1753,1877,1815,62.03,12
Resistance,2028,2110,2069,40.79,6
Resistance,2201,2254,2228,26.3,4
Resistance,2407,2478,2442,35.94,4
Resistance,2790,2790,2790,0.0,2
Support,625,675,650,24.83,4
Support,718,750,734,15.96,25
Support,769,786,778,8.72,19
Support,796,809,803,6.36,7
Support,837,885,861,23.94,4
Support,915,948,931,16.52,4
Support,969,994,982,12.52,6
Support,1028,1046,1037,9.05,9
Support,1065,1088,1076,11.57,8
