Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-186,997,405,19.72,25,405.0,0.1066,366.0,214.49,1
Resistance,-331,1311,490,27.37,33,490.0,0.3388,366.0,94.61,2
Resistance,-144,1375,615,25.32,15,615.0,0.6803,366.0,21.73,3
Resistance,-506,1899,697,40.08,6,697.0,0.9044,366.0,6.56,4
Support,155,548,352,6.54,5,352.0,0.0383,366.0,103.62,1
Support,-179,732,276,15.19,26,276.0,0.2459,366.0,101.6,2
Support,-254,613,179,14.44,47,179.0,0.5109,366.0,90.22,3
Support,-180,656,238,13.92,31,238.0,0.3497,366.0,86.18,4
