Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,247,254,250,3.29,5
Resistance,259,262,261,1.69,10
Resistance,270,281,275,5.43,17
Resistance,291,303,297,5.99,12
Resistance,313,324,319,5.66,9
Resistance,342,353,348,5.4,14
Resistance,365,379,372,7.13,15
Resistance,390,407,399,8.33,10
Resistance,417,439,428,10.77,9
Resistance,462,488,475,13.11,4
Support,107,107,107,0.0,1
Support,117,117,117,0.0,1
Support,135,143,139,3.72,8
Support,156,161,159,2.39,8
Support,192,196,194,2.08,3
Support,200,200,200,0.0,2
Support,219,222,220,1.56,9
Support,226,228,227,1.15,4
Support,230,233,232,1.46,14
Support,239,243,241,2.02,11
