Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,448,18,2,3,0.9575,0.9614,0.9956,0.9782
AKRA,440,21,6,4,0.9427,0.9544,0.9865,0.9702
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,434,8,9,20,0.9639,0.9819,0.9797,0.9808
BUMI,439,3,10,19,0.9724,0.9932,0.9777,0.9854
DEWA,185,3,84,199,0.8153,0.984,0.6877,0.8096
DOID,260,9,71,131,0.8301,0.9665,0.7855,0.8667
ELSA,443,28,0,0,0.9406,0.9406,1.0,0.9694
ENRG,336,3,42,90,0.9045,0.9912,0.8889,0.9372
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,413,12,14,32,0.9448,0.9718,0.9672,0.9695
ITMA,65,30,120,256,0.6815,0.6842,0.3514,0.4643
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,466,3,1,1,0.9915,0.9936,0.9979,0.9957
MBSS,398,11,14,48,0.9469,0.9731,0.966,0.9695
MEDC,447,14,3,7,0.9639,0.9696,0.9933,0.9813
PGAS,452,13,3,3,0.966,0.972,0.9934,0.9826
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,463,6,1,1,0.9851,0.9872,0.9978,0.9925
SOCI,450,10,4,7,0.9703,0.9783,0.9912,0.9847
TCPI,457,9,3,2,0.9745,0.9807,0.9935,0.987
TEBE,351,6,43,71,0.896,0.9832,0.8909,0.9348
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,453,18,0,0,0.9618,0.9618,1.0,0.9805
