Emiten,Tanggal,Sebab
ARTO,2020-08-25,Data Adjusted
ARTO,2020-08-26,Data Adjusted
ARTO,2020-08-27,Data Adjusted
ARTO,2020-08-28,Data Adjusted
ARTO,2020-08-31,Data Adjusted
ARTO,2020-09-01,Data Adjusted
ARTO,2020-09-02,Data Adjusted
ARTO,2020-09-03,Data Adjusted
ARTO,2020-09-04,Data Adjusted
ARTO,2020-09-07,Data Adjusted
ARTO,2020-09-08,Data Adjusted
ARTO,2020-09-09,Data Adjusted
ARTO,2020-09-10,Data Adjusted
ARTO,2020-09-11,Data Adjusted
ARTO,2020-09-14,Data Adjusted
ARTO,2020-09-15,Data Adjusted
ARTO,2020-09-16,Data Adjusted
ARTO,2020-09-17,Data Adjusted
ARTO,2020-09-18,Data Adjusted
ARTO,2020-09-21,Data Adjusted
ARTO,2020-09-22,Data Adjusted
ARTO,2020-09-23,Data Adjusted
ARTO,2020-09-24,Data Adjusted
ARTO,2020-09-25,Data Adjusted
ARTO,2020-09-28,Data Adjusted
ARTO,2020-09-29,Data Adjusted
ARTO,2020-09-30,Data Adjusted
ARTO,2020-10-01,Data Adjusted
ARTO,2020-10-02,Data Adjusted
ARTO,2020-10-05,Data Adjusted
ARTO,2020-10-06,Data Adjusted
ARTO,2020-10-07,Data Adjusted
ARTO,2020-10-08,Data Adjusted
ARTO,2020-10-09,Data Adjusted
ARTO,2020-10-12,Data Adjusted
ARTO,2020-10-13,Data Adjusted
ARTO,2020-10-14,Data Adjusted
ARTO,2020-10-15,Data Adjusted
ARTO,2020-10-16,Data Adjusted
ARTO,2020-10-19,Data Adjusted
ARTO,2020-10-20,Data Adjusted
ARTO,2020-10-21,Data Adjusted
ARTO,2020-10-22,Data Adjusted
ARTO,2020-10-23,Data Adjusted
ARTO,2020-10-26,Data Adjusted
ARTO,2020-10-27,Data Adjusted
ARTO,2020-11-02,Data Adjusted
ARTO,2020-11-03,Data Adjusted
ARTO,2020-11-04,Data Adjusted
ARTO,2020-11-05,Data Adjusted
ARTO,2020-11-06,Data Adjusted
ARTO,2020-11-09,Data Adjusted
ARTO,2020-11-10,Data Adjusted
ARTO,2020-11-11,Data Adjusted
ARTO,2020-11-12,Data Adjusted
ARTO,2020-11-13,Data Adjusted
ARTO,2020-11-16,Data Adjusted
ARTO,2020-11-17,Data Adjusted
ARTO,2020-11-18,Data Adjusted
ARTO,2020-11-19,Data Adjusted
ARTO,2020-11-20,Data Adjusted
ARTO,2020-11-23,Data Adjusted
ARTO,2020-11-24,Data Adjusted
ARTO,2020-11-25,Data Adjusted
ARTO,2020-11-26,Data Adjusted
ARTO,2020-11-27,Data Adjusted
ARTO,2020-11-30,Data Adjusted
ARTO,2020-12-01,Data Adjusted
ARTO,2020-12-02,Data Adjusted
ARTO,2020-12-03,Data Adjusted
ARTO,2020-12-04,Data Adjusted
ARTO,2020-12-07,Data Adjusted
ARTO,2020-12-08,Data Adjusted
ARTO,2020-12-11,Data Adjusted
ARTO,2020-12-14,Data Adjusted
ARTO,2020-12-15,Data Adjusted
ARTO,2020-12-16,Data Adjusted
ARTO,2020-12-17,Data Adjusted
ARTO,2020-12-18,Data Adjusted
ARTO,2020-12-21,Data Adjusted
ARTO,2020-12-22,Data Adjusted
ARTO,2020-12-23,Data Adjusted
ARTO,2020-12-28,Data Adjusted
ARTO,2020-12-29,Data Adjusted
ARTO,2020-12-30,Data Adjusted
ARTO,2021-01-04,Data Adjusted
ARTO,2021-01-05,Data Adjusted
ARTO,2021-01-06,Data Adjusted
ARTO,2021-01-07,Data Adjusted
ARTO,2021-01-08,Data Adjusted
ARTO,2021-01-11,Data Adjusted
ARTO,2021-01-12,Data Adjusted
ARTO,2021-01-13,Data Adjusted
ARTO,2021-01-14,Data Adjusted
ARTO,2021-01-15,Data Adjusted
ARTO,2021-01-18,Data Adjusted
ARTO,2021-01-19,Data Adjusted
ARTO,2021-01-20,Data Adjusted
ARTO,2021-01-21,Data Adjusted
ARTO,2021-01-22,Data Adjusted
ARTO,2021-01-25,Data Adjusted
ARTO,2021-01-26,Data Adjusted
ARTO,2021-01-27,Data Adjusted
ARTO,2021-01-28,Data Adjusted
ARTO,2021-02-01,Data Adjusted
ARTO,2021-02-02,Data Adjusted
ARTO,2021-02-03,Data Adjusted
ARTO,2021-02-04,Data Adjusted
ARTO,2021-02-05,Data Adjusted
ARTO,2021-02-08,Data Adjusted
ARTO,2021-02-09,Data Adjusted
ARTO,2021-02-10,Data Adjusted
ARTO,2021-02-11,Data Adjusted
ARTO,2021-02-15,Data Adjusted
ARTO,2021-02-16,Data Adjusted
ARTO,2021-02-17,Data Adjusted
ARTO,2021-02-18,Data Adjusted
ARTO,2021-02-19,Data Adjusted
ARTO,2021-02-22,Data Adjusted
ARTO,2021-02-23,Data Adjusted
ARTO,2021-02-24,Data Adjusted
ARTO,2021-02-25,Data Adjusted
ARTO,2021-02-26,Data Adjusted
ARTO,2021-03-01,Data Adjusted
ARTO,2021-03-02,Data Adjusted
ARTO,2021-03-03,Data Adjusted
ARTO,2021-03-04,Data Adjusted
BBCA,2019-12-26,Harga Selisih
BBCA,2019-12-27,Harga Selisih
BBCA,2019-12-30,Harga Selisih
BBCA,2020-01-02,Harga Selisih
BBCA,2020-01-03,Harga Selisih
BBCA,2020-01-06,Harga Selisih
BBCA,2020-01-07,Harga Selisih
BBCA,2020-01-08,Harga Selisih
BBCA,2020-01-09,Harga Selisih
BBCA,2020-01-10,Harga Selisih
BBCA,2020-01-13,Harga Selisih
BBCA,2020-01-14,Harga Selisih
BBCA,2020-01-15,Harga Selisih
BBCA,2020-01-16,Harga Selisih
BBCA,2020-01-17,Harga Selisih
BBCA,2020-01-20,Harga Selisih
BBCA,2020-01-21,Harga Selisih
BBCA,2020-01-22,Harga Selisih
BBCA,2020-01-23,Harga Selisih
BBCA,2020-01-24,Harga Selisih
BBCA,2020-01-27,Harga Selisih
BBCA,2020-01-28,Harga Selisih
BBCA,2020-01-29,Harga Selisih
BBCA,2020-01-30,Harga Selisih
BBCA,2020-01-31,Harga Selisih
BBCA,2020-02-03,Harga Selisih
BBCA,2020-02-04,Harga Selisih
BBCA,2020-02-05,Harga Selisih
BBCA,2020-02-06,Harga Selisih
BBCA,2020-02-07,Harga Selisih
BBCA,2020-02-10,Harga Selisih
BBCA,2020-02-11,Harga Selisih
BBCA,2020-02-12,Harga Selisih
BBCA,2020-02-13,Harga Selisih
BBCA,2020-02-14,Harga Selisih
BBCA,2020-02-17,Harga Selisih
BBCA,2020-02-18,Harga Selisih
BBCA,2020-02-19,Harga Selisih
BBCA,2020-02-20,Harga Selisih
BBCA,2020-02-21,Harga Selisih
BBCA,2020-02-24,Harga Selisih
BBCA,2020-02-25,Harga Selisih
BBCA,2020-02-26,Harga Selisih
BBCA,2020-02-27,Harga Selisih
BBCA,2020-02-28,Harga Selisih
BBCA,2020-03-02,Harga Selisih
BBCA,2020-03-03,Harga Selisih
BBCA,2020-03-04,Harga Selisih
BBCA,2020-03-05,Harga Selisih
BBCA,2020-03-06,Harga Selisih
BBCA,2020-03-09,Harga Selisih
BBCA,2020-03-10,Harga Selisih
BBCA,2020-03-11,Harga Selisih
BBCA,2020-03-12,Harga Selisih
BBCA,2020-03-13,Harga Selisih
BBCA,2020-03-16,Harga Selisih
BBCA,2020-03-17,Harga Selisih
BBCA,2020-03-18,Harga Selisih
BBCA,2020-03-19,Harga Selisih
BBCA,2020-03-20,Harga Selisih
BBCA,2020-03-23,Harga Selisih
BBCA,2020-03-24,Harga Selisih
BBCA,2020-03-26,Harga Selisih
BBCA,2020-03-27,Harga Selisih
BBCA,2020-03-30,Harga Selisih
BBCA,2020-03-31,Harga Selisih
BBCA,2020-04-01,Harga Selisih
BBCA,2020-04-02,Harga Selisih
BBCA,2020-04-03,Harga Selisih
BBCA,2020-04-06,Harga Selisih
BBCA,2020-04-07,Harga Selisih
BBCA,2020-04-08,Harga Selisih
BBCA,2020-04-09,Harga Selisih
BBCA,2020-04-13,Harga Selisih
BBCA,2020-04-14,Harga Selisih
BBCA,2020-04-15,Harga Selisih
BBCA,2020-04-16,Harga Selisih
BBCA,2020-04-17,Harga Selisih
BBCA,2020-04-20,Harga Selisih
BBCA,2020-04-21,Harga Selisih
BBCA,2020-04-22,Harga Selisih
BBCA,2020-04-23,Harga Selisih
BBCA,2020-04-24,Harga Selisih
BBCA,2020-04-27,Harga Selisih
BBCA,2020-04-28,Harga Selisih
BBCA,2020-04-29,Harga Selisih
BBCA,2020-04-30,Harga Selisih
BBCA,2020-05-04,Harga Selisih
BBCA,2020-05-05,Harga Selisih
BBCA,2020-05-06,Harga Selisih
BBCA,2020-05-08,Harga Selisih
BBCA,2020-05-11,Harga Selisih
BBCA,2020-05-12,Harga Selisih
BBCA,2020-05-13,Harga Selisih
BBCA,2020-05-14,Harga Selisih
BBCA,2020-05-15,Harga Selisih
BBCA,2020-05-18,Harga Selisih
BBCA,2020-05-19,Harga Selisih
BBCA,2020-05-20,Harga Selisih
BBCA,2020-05-26,Harga Selisih
BBCA,2020-05-27,Harga Selisih
BBCA,2020-05-28,Harga Selisih
BBCA,2020-05-29,Harga Selisih
BBCA,2020-06-02,Harga Selisih
BBCA,2020-06-03,Harga Selisih
BBCA,2020-06-04,Harga Selisih
BBCA,2020-06-05,Harga Selisih
BBCA,2020-06-08,Harga Selisih
BBCA,2020-06-09,Harga Selisih
BBCA,2020-06-10,Harga Selisih
BBCA,2020-06-11,Harga Selisih
BBCA,2020-06-12,Harga Selisih
BBCA,2020-06-15,Harga Selisih
BBCA,2020-06-16,Harga Selisih
BBCA,2020-06-17,Harga Selisih
BBCA,2020-06-18,Harga Selisih
BBCA,2020-06-19,Harga Selisih
BBCA,2020-06-22,Harga Selisih
BBCA,2020-06-23,Harga Selisih
BBCA,2020-06-24,Harga Selisih
BBCA,2020-06-25,Harga Selisih
BBCA,2020-06-26,Harga Selisih
BBCA,2020-06-29,Harga Selisih
BBCA,2020-06-30,Harga Selisih
BBCA,2020-07-01,Harga Selisih
BBCA,2020-07-02,Harga Selisih
BBCA,2020-07-03,Harga Selisih
BBCA,2020-07-06,Harga Selisih
BBCA,2020-07-07,Harga Selisih
BBCA,2020-07-08,Harga Selisih
BBCA,2020-07-09,Harga Selisih
BBCA,2020-07-10,Harga Selisih
BBCA,2020-07-13,Harga Selisih
BBCA,2020-07-14,Harga Selisih
BBCA,2020-07-15,Harga Selisih
BBCA,2020-07-16,Harga Selisih
BBCA,2020-07-17,Harga Selisih
BBCA,2020-07-20,Harga Selisih
BBCA,2020-07-21,Harga Selisih
BBCA,2020-07-22,Harga Selisih
BBCA,2020-07-23,Harga Selisih
BBCA,2020-07-24,Harga Selisih
BBCA,2020-07-27,Harga Selisih
BBCA,2020-07-28,Harga Selisih
BBCA,2020-07-29,Harga Selisih
BBCA,2020-07-30,Harga Selisih
BBCA,2020-08-03,Harga Selisih
BBCA,2020-08-04,Harga Selisih
BBCA,2020-08-05,Harga Selisih
BBCA,2020-08-06,Harga Selisih
BBCA,2020-08-07,Harga Selisih
BBCA,2020-08-10,Harga Selisih
BBCA,2020-08-11,Harga Selisih
BBCA,2020-08-12,Harga Selisih
BBCA,2020-08-13,Harga Selisih
BBCA,2020-08-14,Harga Selisih
BBCA,2020-08-18,Harga Selisih
BBCA,2020-08-19,Harga Selisih
BBCA,2020-08-24,Harga Selisih
BBCA,2020-08-25,Harga Selisih
BBCA,2020-08-26,Harga Selisih
BBCA,2020-08-27,Harga Selisih
BBCA,2020-08-28,Harga Selisih
BBCA,2020-08-31,Harga Selisih
BBCA,2020-09-01,Harga Selisih
BBCA,2020-09-02,Harga Selisih
BBCA,2020-09-03,Harga Selisih
BBCA,2020-09-04,Harga Selisih
BBCA,2020-09-07,Harga Selisih
BBCA,2020-09-08,Harga Selisih
BBCA,2020-09-09,Harga Selisih
BBCA,2020-09-10,Harga Selisih
BBCA,2020-09-11,Harga Selisih
BBCA,2020-09-14,Harga Selisih
BBCA,2020-09-15,Harga Selisih
BBCA,2020-09-16,Harga Selisih
BBCA,2020-09-17,Harga Selisih
BBCA,2020-09-18,Harga Selisih
BBCA,2020-09-21,Harga Selisih
BBCA,2020-09-22,Harga Selisih
BBCA,2020-09-23,Harga Selisih
BBCA,2020-09-24,Harga Selisih
BBCA,2020-09-25,Harga Selisih
BBCA,2020-09-28,Harga Selisih
BBCA,2020-09-29,Harga Selisih
BBCA,2020-09-30,Harga Selisih
BBCA,2020-10-01,Harga Selisih
BBCA,2020-10-02,Harga Selisih
BBCA,2020-10-05,Harga Selisih
BBCA,2020-10-06,Harga Selisih
BBCA,2020-10-07,Harga Selisih
BBCA,2020-10-08,Harga Selisih
BBCA,2020-10-09,Harga Selisih
BBCA,2020-10-12,Harga Selisih
BBCA,2020-10-13,Harga Selisih
BBCA,2020-10-14,Harga Selisih
BBCA,2020-10-15,Harga Selisih
BBCA,2020-10-16,Harga Selisih
BBCA,2020-10-19,Harga Selisih
BBCA,2020-10-20,Harga Selisih
BBCA,2020-10-21,Harga Selisih
BBCA,2020-10-22,Harga Selisih
BBCA,2020-10-23,Harga Selisih
BBCA,2020-10-26,Harga Selisih
BBCA,2020-10-27,Harga Selisih
BBCA,2020-11-02,Harga Selisih
BBCA,2020-11-03,Harga Selisih
BBCA,2020-11-04,Harga Selisih
BBCA,2020-11-05,Harga Selisih
BBCA,2020-11-06,Harga Selisih
BBCA,2020-11-09,Harga Selisih
BBCA,2020-11-10,Harga Selisih
BBCA,2020-11-11,Harga Selisih
BBCA,2020-11-12,Harga Selisih
BBCA,2020-11-13,Harga Selisih
BBCA,2020-11-16,Harga Selisih
BBCA,2020-11-17,Harga Selisih
BBCA,2020-11-18,Harga Selisih
BBCA,2020-11-19,Harga Selisih
BBCA,2020-11-20,Harga Selisih
BBCA,2020-11-23,Harga Selisih
BBCA,2020-11-24,Harga Selisih
BBCA,2020-11-25,Harga Selisih
BBCA,2020-11-26,Harga Selisih
BBCA,2020-11-27,Harga Selisih
BBCA,2020-11-30,Harga Selisih
BBCA,2020-12-01,Harga Selisih
BBCA,2020-12-02,Harga Selisih
BBCA,2020-12-03,Harga Selisih
BBCA,2020-12-04,Harga Selisih
BBCA,2020-12-07,Harga Selisih
BBCA,2020-12-08,Harga Selisih
BBCA,2020-12-10,Harga Selisih
BBCA,2020-12-11,Harga Selisih
BBCA,2020-12-14,Harga Selisih
BBCA,2020-12-15,Harga Selisih
BBCA,2020-12-16,Harga Selisih
BBCA,2020-12-17,Harga Selisih
BBCA,2020-12-18,Harga Selisih
BBCA,2020-12-21,Harga Selisih
BBCA,2020-12-22,Harga Selisih
BBCA,2020-12-23,Harga Selisih
BBCA,2020-12-28,Harga Selisih
BBCA,2020-12-29,Harga Selisih
BBCA,2020-12-30,Harga Selisih
BBCA,2021-01-04,Harga Selisih
BBCA,2021-01-05,Harga Selisih
BBCA,2021-01-06,Harga Selisih
BBCA,2021-01-07,Harga Selisih
BBCA,2021-01-08,Harga Selisih
BBCA,2021-01-11,Harga Selisih
BBCA,2021-01-12,Harga Selisih
BBCA,2021-01-13,Harga Selisih
BBCA,2021-01-14,Harga Selisih
BBCA,2021-01-15,Harga Selisih
BBCA,2021-01-18,Harga Selisih
BBCA,2021-01-19,Harga Selisih
BBCA,2021-01-20,Harga Selisih
BBCA,2021-01-21,Harga Selisih
BBCA,2021-01-22,Harga Selisih
