Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,32,76,54,21.91,17
Resistance,97,134,115,18.45,5
Resistance,179,232,206,26.85,5
Resistance,333,415,374,41.38,4
Support,7,7,7,0.0,3
Support,8,8,8,0.0,5
