Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,471,0,0,0,1.0,1.0,1.0,1.0
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,467,3,1,0,0.9915,0.9936,0.9979,0.9957
BUMI,471,0,0,0,1.0,1.0,1.0,1.0
DEWA,322,9,44,96,0.8875,0.9728,0.8798,0.924
DOID,471,0,0,0,1.0,1.0,1.0,1.0
ELSA,471,0,0,0,1.0,1.0,1.0,1.0
ENRG,376,7,34,54,0.913,0.9817,0.9171,0.9483
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,461,6,1,3,0.9851,0.9872,0.9978,0.9925
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,458,13,0,0,0.9724,0.9724,1.0,0.986
MEDC,471,0,0,0,1.0,1.0,1.0,1.0
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,471,0,0,0,1.0,1.0,1.0,1.0
SOCI,464,3,1,3,0.9915,0.9936,0.9978,0.9957
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,388,7,30,46,0.9214,0.9823,0.9282,0.9545
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
