Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,11894,39831,25862,465.6,8
Resistance,12913,43520,28217,510.12,18
Resistance,9276,50701,29989,690.41,11
Resistance,18874,48386,33630,491.85,10
Resistance,19005,53578,36292,576.22,9
Resistance,25373,51699,38536,438.77,9
Resistance,28896,51679,40288,379.72,6
Resistance,26462,56971,41717,508.49,12
Resistance,23848,65052,44450,686.72,12
Support,-7867,21899,7016,496.1,12
Support,294,15622,7958,255.47,23
Support,-481,20915,10217,356.6,6
Support,-106,23948,11921,400.89,19
Support,-2351,30009,13829,539.34,12
Support,-8739,41283,16272,833.71,9
Support,-781,40767,19993,692.47,17
Support,10343,34935,22639,409.86,9
Support,6315,42581,24448,604.43,14
