Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,339,23,36,73,0.8747,0.9365,0.904,0.9199
AKRA,174,46,98,153,0.6943,0.7909,0.6397,0.7073
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,437,17,10,7,0.9427,0.9626,0.9776,0.97
BULL,391,8,30,42,0.9193,0.9799,0.9287,0.9537
BUMI,356,22,31,62,0.8875,0.9418,0.9199,0.9307
DEWA,146,22,94,209,0.7537,0.869,0.6083,0.7157
DOID,201,16,85,169,0.7856,0.9263,0.7028,0.7992
ELSA,233,16,89,133,0.7771,0.9357,0.7236,0.8161
ENRG,268,10,64,129,0.8429,0.964,0.8072,0.8787
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,333,0,50,88,0.8938,1.0,0.8695,0.9302
INDY,363,16,32,60,0.8981,0.9578,0.919,0.938
ITMA,33,12,137,289,0.6837,0.7333,0.1941,0.307
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,360,12,41,58,0.8875,0.9677,0.8978,0.9314
MBSS,99,28,139,205,0.6454,0.7795,0.416,0.5425
MEDC,271,21,59,120,0.8301,0.9281,0.8212,0.8714
PGAS,103,30,117,221,0.6879,0.7744,0.4682,0.5836
PTBA,381,18,30,42,0.8981,0.9549,0.927,0.9407
RUIS,284,19,67,101,0.8174,0.9373,0.8091,0.8685
SOCI,362,24,36,49,0.8726,0.9378,0.9095,0.9235
TCPI,321,5,56,89,0.8705,0.9847,0.8515,0.9132
TEBE,209,23,117,122,0.7028,0.9009,0.6411,0.7491
TPMA,422,27,13,9,0.9151,0.9399,0.9701,0.9548
WINS,268,34,69,100,0.7813,0.8874,0.7953,0.8388
