Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,256,33,59,123,0.8047,0.8858,0.8127,0.8477
AKRA,259,34,59,119,0.8025,0.884,0.8145,0.8478
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,412,21,16,22,0.9214,0.9515,0.9626,0.957
BULL,252,25,90,104,0.7558,0.9097,0.7368,0.8142
BUMI,187,17,94,173,0.7643,0.9167,0.6655,0.7711
DEWA,131,25,100,215,0.7346,0.8397,0.5671,0.677
DOID,167,18,100,186,0.7495,0.9027,0.6255,0.7389
ELSA,60,25,150,236,0.6285,0.7059,0.2857,0.4068
ENRG,187,35,84,165,0.7473,0.8423,0.69,0.7586
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,257,12,74,128,0.8174,0.9554,0.7764,0.8567
INDY,381,11,24,55,0.9257,0.9719,0.9407,0.9561
ITMA,79,51,118,222,0.6404,0.6077,0.401,0.4832
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,212,19,104,136,0.7389,0.9177,0.6709,0.7751
MBSS,368,4,21,78,0.9469,0.9892,0.946,0.9671
MEDC,207,36,77,151,0.7601,0.8519,0.7289,0.7856
PGAS,54,6,138,273,0.6943,0.9,0.2812,0.4286
PTBA,238,36,84,113,0.7452,0.8686,0.7391,0.7987
RUIS,188,15,108,160,0.7389,0.9261,0.6351,0.7535
SOCI,218,38,91,124,0.7261,0.8516,0.7055,0.7717
TCPI,211,36,86,138,0.741,0.8543,0.7104,0.7757
TEBE,152,20,144,155,0.6518,0.8837,0.5135,0.6496
TPMA,394,26,27,24,0.8875,0.9381,0.9359,0.937
WINS,266,34,70,101,0.7792,0.8867,0.7917,0.8365
