Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,136,19,100,216,0.7473,0.8774,0.5763,0.6957
AKRA,32,10,153,276,0.6539,0.7619,0.173,0.2819
APEX,349,4,49,69,0.8875,0.9887,0.8769,0.9294
ARII,272,46,71,82,0.7516,0.8553,0.793,0.823
BULL,126,19,140,186,0.6624,0.869,0.4737,0.6131
BUMI,184,17,95,175,0.7622,0.9154,0.6595,0.7667
DEWA,45,20,146,260,0.6476,0.6923,0.2356,0.3516
DOID,95,29,125,222,0.673,0.7661,0.4318,0.5523
ELSA,73,25,146,227,0.6369,0.7449,0.3333,0.4606
ENRG,96,22,118,235,0.7028,0.8136,0.4486,0.5783
FIRE,352,0,58,61,0.8769,1.0,0.8585,0.9239
HRUM,257,12,74,128,0.8174,0.9554,0.7764,0.8567
INDY,202,52,76,141,0.7282,0.7953,0.7266,0.7594
ITMA,3,8,164,295,0.634,0.2727,0.018,0.0337
ITMG,289,34,51,97,0.8195,0.8947,0.85,0.8718
KKGI,198,17,108,148,0.7346,0.9209,0.6471,0.7601
MBSS,18,16,171,266,0.603,0.5294,0.0952,0.1614
MEDC,77,16,133,244,0.683,0.828,0.3667,0.5083
PGAS,50,3,139,279,0.6985,0.9434,0.2646,0.4132
PTBA,170,28,114,159,0.6985,0.8586,0.5986,0.7054
RUIS,84,26,145,216,0.6369,0.7636,0.3668,0.4956
SOCI,130,38,135,168,0.6327,0.7738,0.4906,0.6005
TCPI,161,48,102,160,0.6815,0.7703,0.6122,0.6822
TEBE,89,21,173,188,0.5881,0.8091,0.3397,0.4785
TPMA,163,37,146,125,0.6115,0.815,0.5275,0.6405
WINS,100,18,132,221,0.6815,0.8475,0.431,0.5714
